"Month","Employee","Quota","Bookings","Attainment","Participation","Quota Held Flag","Attainment Bucket","Team","","","","","",""
"1/1/2012","Nellie Bertram"," $ 8,191 "," $ 7,356 ","89.81%","","Y","+300%","SB IB","","","","","",""
"1/1/2012","Clark Green"," $ 5,067 "," $ 7,286 ","143.79%","Y","Y","100-200%","SB IB","","","","","",""
"1/1/2012","Pete Miller"," $ 4,922 "," $ 8,215 ","166.90%","Y","Y","100-200%","SB IB","","","","","",""
"1/1/2012","Todd Packer"," $ 7,323 "," $ 5,072 ","69.26%","","Y","+300%","SB IB","","","","","",""
"1/1/2012","David Wallace"," $ 7,794 "," $ 9,389 ","120.46%","Y","Y","100-200%","SB ACQ","","","","","",""
"1/1/2012","Karen Filippelli"," $ 5,737 "," $ 9,262 ","161.44%","Y","Y","100-200%","SB ACQ","","","","","",""
"1/1/2012","Charles Miner"," $ 8,152 "," $ 6,828 ","83.76%","","Y","70-89%","SB ACQ","","","","","",""
"1/1/2012","Jo Bennett"," $ 1,585 "," $ 5,615 ","354.26%","Y","Y","+300%","SB ACQ","","","","","",""
"1/1/2012","Robert Lipton"," $ 1,597 "," $ 5,070 ","317.47%","Y","Y","+300%","SB ACQ","","","","","",""
"1/1/2012","Nate Nickerson"," $ 9,143 "," $ 7,709 ","84.32%","","Y","70-89%","MM ACQ","","","","","",""
"1/1/2012","Deangelo Vickers"," $ 2,880 "," $ 8,240 ","286.11%","Y","Y","200-300%","SB IB","","","","","",""
"1/1/2012","Val Johnson"," $ 1,391 "," $ 9,825 ","706.33%","Y","Y","+300%","MM IB","","","","","",""
"1/1/2012","Cathy Simms"," $ 1,127 "," $ 5,505 ","488.46%","Y","Y","+300%","SB ACQ","","","","","",""
"2/1/2012","Michael Scott"," $ 3,168 "," $ 8,957 ","282.73%","Y","Y","200-300%","ENT IB","","","","","",""
"2/1/2012","Dwight Schrute"," $ 7,887 "," $ 7,681 ","97.39%","","Y","90-99%","ENT IB","","","","","",""
"2/1/2012","Jim Halpert"," $ 7,802 "," $ 6,515 ","83.50%","","Y","70-89%","ENT IB","","","","","",""
"2/1/2012","Pam Beesly"," $ 1,155 "," $ 5,162 ","446.93%","Y","Y","+300%","ENT IB","","","","","",""
"2/1/2012","Ryan Howard"," $ 2,376 "," $ 6,410 ","269.78%","Y","Y","200-300%","ENT IB","","","","","",""
"2/1/2012","Andy Bernard"," $ 1,592 "," $ 8,152 ","512.06%","Y","Y","+300%","ENT ACQ","","","","","",""
"2/1/2012","Robert California"," $ 2,427 "," $ 5,147 ","212.07%","Y","Y","200-300%","ENT ACQ","","","","","",""
"2/1/2012","Jan Levinson"," $ 4,168 "," $ 5,513 ","132.27%","Y","Y","100-200%","ENT ACQ","","","","","",""
"2/1/2012","Roy Anderson"," $ 1,386 "," $ 7,621 ","549.86%","Y","Y","+300%","ENT ACQ","","","","","",""
"2/1/2012","Stanley Hudson"," $ 5,140 "," $ 8,408 ","163.58%","Y","Y","100-200%","ENT ACQ","","","","","",""
"2/1/2012","Kevin Malone"," $ 4,084 "," $ 6,437 ","157.62%","Y","Y","100-200%","MM IB","","","","","",""
"2/1/2012","Meredith Palmer"," $ 5,215 "," $ 7,261 ","139.23%","Y","Y","100-200%","MM IB","","","","","",""
"2/1/2012","Angela Martin"," $ 1,378 "," $ 5,542 ","402.18%","Y","Y","+300%","MM IB","","","","","",""
"2/1/2012","Oscar Martinez"," $ 3,576 "," $ 9,375 ","262.16%","Y","Y","200-300%","MM IB","","","","","",""
"2/1/2012","Phyllis Lapin"," $ 3,701 "," $ 9,292 ","251.07%","Y","Y","200-300%","MM IB","","","","","",""
"2/1/2012","Kelly Kapoor"," $ 6,266 "," $ 6,584 ","105.08%","Y","Y","100-200%","MM IB","","","","","",""
"2/1/2012","Toby Flenderson"," $ 7,315 "," $ 6,758 ","92.39%","","Y","90-99%","MM ACQ","","","","","",""
"2/1/2012","Creed Bratton"," $ 8,091 "," $ 9,189 ","113.57%","Y","Y","100-200%","MM ACQ","","","","","",""
"2/1/2012","Darryl Philbin"," $ 7,925 "," $ 5,919 ","74.69%","","Y","70-89%","MM ACQ","","","","","",""
"2/1/2012","Kelly Erin Hannon"," $ 6,943 "," $ 9,601 ","138.28%","Y","Y","100-200%","MM ACQ","","","","","",""
"2/1/2012","Gabe Lewis"," $ 8,505 "," $ 8,651 ","101.72%","Y","Y","100-200%","MM ACQ","","","","","",""
"2/1/2012","Holly Flax"," $ 4,105 "," $ 5,667 ","138.05%","Y","Y","100-200%","SB IB","","","","","",""
"2/1/2012","Nellie Bertram"," $ 2,133 "," $ 7,995 ","374.82%","Y","Y","+300%","SB IB","","","","","",""
"2/1/2012","Clark Green"," $ 8,640 "," $ 8,069 ","93.39%","","Y","90-99%","SB IB","","","","","",""
"2/1/2012","Pete Miller"," $ 7,676 "," $ 7,158 ","93.25%","","Y","90-99%","SB IB","","","","","",""
"2/1/2012","Todd Packer"," $ 8,209 "," $ 5,313 ","64.72%","","Y","30-69%","SB IB","","","","","",""
"2/1/2012","David Wallace"," $ 1,738 "," $ 7,180 ","413.12%","Y","Y","+300%","SB ACQ","","","","","",""
"2/1/2012","Karen Filippelli"," $ 6,276 "," $ 6,860 ","109.31%","Y","Y","100-200%","SB ACQ","","","","","",""
"2/1/2012","Charles Miner"," $ 3,550 "," $ 9,089 ","256.03%","Y","Y","200-300%","SB ACQ","","","","","",""
"2/1/2012","Jo Bennett"," $ 7,998 "," $ 5,469 ","68.38%","","Y","30-69%","SB ACQ","","","","","",""
"2/1/2012","Robert Lipton"," $ 4,578 "," $ 8,829 ","192.86%","Y","Y","100-200%","SB ACQ","","","","","",""
"2/1/2012","Nate Nickerson"," $ 2,036 "," $ 7,992 ","392.53%","Y","Y","+300%","MM ACQ","","","","","",""
"2/1/2012","Deangelo Vickers"," $ 6,444 "," $ 5,852 ","90.81%","","Y","90-99%","SB IB","","","","","",""
"2/1/2012","Val Johnson"," $ 6,470 "," $ 7,309 ","112.97%","Y","Y","100-200%","MM IB","","","","","",""
"2/1/2012","Cathy Simms"," $ 1,084 "," $ 8,909 ","821.86%","Y","Y","+300%","SB ACQ","","","","","",""
"3/1/2012","Michael Scott"," $ 4,719 "," $ 5,453 ","115.55%","Y","Y","100-200%","ENT IB","","","","","",""
"3/1/2012","Dwight Schrute"," $ 8,154 "," $ 8,618 ","105.69%","Y","Y","100-200%","ENT IB","","","","","",""
"3/1/2012","Jim Halpert"," $ 3,051 "," $ 5,034 ","165.00%","Y","Y","100-200%","ENT IB","","","","","",""
"3/1/2012","Pam Beesly"," $ 5,384 "," $ 6,270 ","116.46%","Y","Y","100-200%","ENT IB","","","","","",""
"3/1/2012","Ryan Howard"," $ 7,086 "," $ 6,586 ","92.94%","","Y","90-99%","ENT IB","","","","","",""
"3/1/2012","Andy Bernard"," $ 4,841 "," $ 8,965 ","185.19%","Y","Y","100-200%","ENT ACQ","","","","","",""
"3/1/2012","Robert California"," $ 3,541 "," $ 7,257 ","204.94%","Y","Y","200-300%","ENT ACQ","","","","","",""
"3/1/2012","Jan Levinson"," $ 7,241 "," $ 8,969 ","123.86%","Y","Y","100-200%","ENT ACQ","","","","","",""
"3/1/2012","Roy Anderson"," $ 9,597 "," $ 7,979 ","83.14%","","Y","70-89%","ENT ACQ","","","","","",""
"3/1/2012","Stanley Hudson"," $ 7,634 "," $ 9,792 ","128.27%","Y","Y","100-200%","ENT ACQ","","","","","",""
"3/1/2012","Kevin Malone"," $ 1,472 "," $ 6,457 ","438.65%","Y","Y","+300%","MM IB","","","","","",""
"3/1/2012","Meredith Palmer"," $ 1,773 "," $ 8,752 ","493.63%","Y","Y","+300%","MM IB","","","","","",""
"3/1/2012","Angela Martin"," $ 7,863 "," $ 7,442 ","94.65%","","Y","90-99%","MM IB","","","","","",""
"3/1/2012","Oscar Martinez"," $ 2,180 "," $ 5,759 ","264.17%","Y","Y","200-300%","MM IB","","","","","",""
"3/1/2012","Phyllis Lapin"," $ 4,085 "," $ 6,664 ","163.13%","Y","Y","100-200%","MM IB","","","","","",""
"3/1/2012","Kelly Kapoor"," $ 5,197 "," $ 5,554 ","106.87%","Y","Y","100-200%","MM IB","","","","","",""
"3/1/2012","Toby Flenderson"," $ 1,028 "," $ 6,496 ","631.91%","Y","Y","+300%","MM ACQ","","","","","",""
"3/1/2012","Creed Bratton"," $ 7,726 "," $ 6,626 ","85.76%","","Y","70-89%","MM ACQ","","","","","",""
"3/1/2012","Darryl Philbin"," $ 6,665 "," $ 9,348 ","140.26%","Y","Y","100-200%","MM ACQ","","","","","",""
"3/1/2012","Kelly Erin Hannon"," $ 9,175 "," $ 5,991 ","65.30%","","Y","30-69%","MM ACQ","","","","","",""
"3/1/2012","Gabe Lewis"," $ 4,577 "," $ 7,191 ","157.11%","Y","Y","100-200%","MM ACQ","","","","","",""
"3/1/2012","Holly Flax"," $ 1,926 "," $ 7,083 ","367.76%","Y","Y","+300%","SB IB","","","","","",""
"3/1/2012","Nellie Bertram"," $ 4,121 "," $ 9,988 ","242.37%","Y","Y","200-300%","SB IB","","","","","",""
"3/1/2012","Clark Green"," $ 8,203 "," $ 6,245 ","76.13%","","Y","70-89%","SB IB","","","","","",""
"3/1/2012","Pete Miller"," $ 5,635 "," $ 6,753 ","119.84%","Y","Y","100-200%","SB IB","","","","","",""
"3/1/2012","Todd Packer"," $ 8,465 "," $ 8,000 ","94.51%","","Y","90-99%","SB IB","","","","","",""
"3/1/2012","David Wallace"," $ 2,746 "," $ 6,234 ","227.02%","Y","Y","200-300%","SB ACQ","","","","","",""
"3/1/2012","Karen Filippelli"," $ 2,066 "," $ 8,985 ","434.90%","Y","Y","+300%","SB ACQ","","","","","",""
"3/1/2012","Charles Miner"," $ 5,680 "," $ 5,538 ","97.50%","","Y","90-99%","SB ACQ","","","","","",""
"3/1/2012","Jo Bennett"," $ 7,484 "," $ 6,159 ","82.30%","","Y","70-89%","SB ACQ","","","","","",""
"3/1/2012","Robert Lipton"," $ 9,798 "," $ 8,725 ","89.05%","","Y","+300%","SB ACQ","","","","","",""
"3/1/2012","Nate Nickerson"," $ 7,455 "," $ 8,934 ","119.84%","Y","Y","100-200%","MM ACQ","","","","","",""
"3/1/2012","Deangelo Vickers"," $ 4,925 "," $ 5,586 ","113.42%","Y","Y","100-200%","SB IB","","","","","",""
"3/1/2012","Val Johnson"," $ 4,459 "," $ 8,922 ","200.09%","Y","Y","200-300%","MM IB","","","","","",""
"3/1/2012","Cathy Simms"," $ 1,160 "," $ 7,373 ","635.60%","Y","Y","+300%","SB ACQ","","","","","",""
"4/1/2012","Michael Scott"," $ 9,598 "," $ 6,617 ","68.94%","","Y","30-69%","ENT IB","","","","","",""
"4/1/2012","Dwight Schrute"," $ 8,799 "," $ 9,735 ","110.64%","Y","Y","100-200%","ENT IB","","","","","",""
"4/1/2012","Jim Halpert"," $ 5,315 "," $ 5,056 ","95.13%","","Y","90-99%","ENT IB","","","","","",""
"4/1/2012","Pam Beesly"," $ 6,693 "," $ 5,576 ","83.31%","","Y","70-89%","ENT IB","","","","","",""
"4/1/2012","Ryan Howard"," $ 4,980 "," $ 6,676 ","134.06%","Y","Y","100-200%","ENT IB","","","","","",""
"4/1/2012","Andy Bernard"," $ 4,282 "," $ 5,121 ","119.59%","Y","Y","100-200%","ENT ACQ","","","","","",""
"4/1/2012","Robert California"," $ 5,011 "," $ 5,425 ","108.26%","Y","Y","100-200%","ENT ACQ","","","","","",""
"4/1/2012","Jan Levinson"," $ 9,852 "," $ 6,803 ","69.05%","","Y","+300%","ENT ACQ","","","","","",""
"4/1/2012","Roy Anderson"," $ 3,069 "," $ 5,353 ","174.42%","Y","Y","100-200%","ENT ACQ","","","","","",""
"4/1/2012","Stanley Hudson"," $ 9,742 "," $ 6,414 ","65.84%","","Y","30-69%","ENT ACQ","","","","","",""
"4/1/2012","Kevin Malone"," $ 9,032 "," $ 5,050 ","55.91%","","Y","30-69%","MM IB","","","","","",""
"4/1/2012","Meredith Palmer"," $ 5,242 "," $ 6,216 ","118.58%","Y","Y","100-200%","MM IB","","","","","",""
"4/1/2012","Angela Martin"," $ 5,647 "," $ 9,399 ","166.44%","Y","Y","100-200%","MM IB","","","","","",""
"4/1/2012","Oscar Martinez"," $ 4,599 "," $ 5,440 ","118.29%","Y","Y","100-200%","MM IB","","","","","",""
"4/1/2012","Phyllis Lapin"," $ 6,082 "," $ 7,254 ","119.27%","Y","Y","100-200%","MM IB","","","","","",""
"4/1/2012","Kelly Kapoor"," $ 5,145 "," $ 6,211 ","120.72%","Y","Y","100-200%","MM IB","","","","","",""
"4/1/2012","Toby Flenderson"," $ 4,874 "," $ 6,970 ","143.00%","Y","Y","100-200%","MM ACQ","","","","","",""
"4/1/2012","Creed Bratton"," $ 4,103 "," $ 7,333 ","178.72%","Y","Y","100-200%","MM ACQ","","","","","",""
"4/1/2012","Darryl Philbin"," $ 2,829 "," $ 6,712 ","237.26%","Y","Y","200-300%","MM ACQ","","","","","",""
"4/1/2012","Kelly Erin Hannon"," $ 3,964 "," $ 9,336 ","235.52%","Y","Y","200-300%","MM ACQ","","","","","",""
"4/1/2012","Gabe Lewis"," $ 9,435 "," $ 7,274 ","77.10%","","Y","70-89%","MM ACQ","","","","","",""
"4/1/2012","Holly Flax"," $ 3,501 "," $ 8,363 ","238.87%","Y","Y","200-300%","SB IB","","","","","",""
"4/1/2012","Nellie Bertram"," $ 4,320 "," $ 9,078 ","210.14%","Y","Y","200-300%","SB IB","","","","","",""
"4/1/2012","Clark Green"," $ 1,080 "," $ 9,296 ","860.74%","Y","Y","+300%","SB IB","","","","","",""
"4/1/2012","Pete Miller"," $ 7,766 "," $ 5,916 ","76.18%","","Y","70-89%","SB IB","","","","","",""
"4/1/2012","Todd Packer"," $ 6,157 "," $ 5,770 ","93.71%","","Y","90-99%","SB IB","","","","","",""
"4/1/2012","David Wallace"," $ 1,008 "," $ 8,866 ","879.56%","Y","Y","+300%","SB ACQ","","","","","",""
"4/1/2012","Karen Filippelli"," $ 7,269 "," $ 9,940 ","136.75%","Y","Y","100-200%","SB ACQ","","","","","",""
"4/1/2012","Charles Miner"," $ 8,173 "," $ 5,670 ","69.37%","","Y","+300%","SB ACQ","","","","","",""
"4/1/2012","Jo Bennett"," $ 4,495 "," $ 8,814 ","196.08%","Y","Y","100-200%","SB ACQ","","","","","",""
"4/1/2012","Robert Lipton"," $ 7,516 "," $ 8,609 ","114.54%","Y","Y","100-200%","SB ACQ","","","","","",""
"4/1/2012","Nate Nickerson"," $ 9,380 "," $ 5,181 ","55.23%","","Y","30-69%","MM ACQ","","","","","",""
"4/1/2012","Deangelo Vickers"," $ 2,200 "," $ 9,526 ","433.00%","Y","Y","+300%","SB IB","","","","","",""
"4/1/2012","Val Johnson"," $ 4,074 "," $ 8,533 ","209.45%","Y","Y","200-300%","MM IB","","","","","",""
"4/1/2012","Cathy Simms"," $ 3,352 "," $ 5,344 ","159.43%","Y","Y","100-200%","SB ACQ","","","","","",""
"5/1/2012","Michael Scott"," $ 6,216 "," $ 7,655 ","123.15%","Y","Y","100-200%","ENT IB","","","","","",""
"5/1/2012","Dwight Schrute"," $ 4,987 "," $ 9,356 ","187.61%","Y","Y","100-200%","ENT IB","","","","","",""
"5/1/2012","Jim Halpert"," $ 3,204 "," $ 9,889 ","308.65%","Y","Y","+300%","ENT IB","","","","","",""
"5/1/2012","Pam Beesly"," $ 1,251 "," $ 8,793 ","702.88%","Y","Y","+300%","ENT IB","","","","","",""
"5/1/2012","Ryan Howard"," $ 5,022 "," $ 9,400 ","187.18%","Y","Y","100-200%","ENT IB","","","","","",""
"5/1/2012","Andy Bernard"," $ 7,690 "," $ 5,397 ","70.18%","","Y","70-89%","ENT ACQ","","","","","",""
"5/1/2012","Robert California"," $ 5,666 "," $ 8,955 ","158.05%","Y","Y","100-200%","ENT ACQ","","","","","",""
"5/1/2012","Jan Levinson"," $ 2,486 "," $ 5,214 ","209.73%","Y","Y","200-300%","ENT ACQ","","","","","",""
"5/1/2012","Roy Anderson"," $ 7,108 "," $ 8,508 ","119.70%","Y","Y","100-200%","ENT ACQ","","","","","",""
"5/1/2012","Stanley Hudson"," $ 4,658 "," $ 7,593 ","163.01%","Y","Y","100-200%","ENT ACQ","","","","","",""
"5/1/2012","Kevin Malone"," $ 4,646 "," $ 7,788 ","167.63%","Y","Y","100-200%","MM IB","","","","","",""
"5/1/2012","Meredith Palmer"," $ 8,844 "," $ 9,398 ","106.26%","Y","Y","100-200%","MM IB","","","","","",""
"5/1/2012","Angela Martin"," $ 6,554 "," $ 7,495 ","114.36%","Y","Y","100-200%","MM IB","","","","","",""
"5/1/2012","Oscar Martinez"," $ 9,458 "," $ 5,066 ","53.56%","","Y","30-69%","MM IB","","","","","",""
"5/1/2012","Phyllis Lapin"," $ 4,925 "," $ 6,548 ","132.95%","Y","Y","100-200%","MM IB","","","","","",""
"5/1/2012","Kelly Kapoor"," $ 8,479 "," $ 7,120 ","83.97%","","Y","70-89%","MM IB","","","","","",""
"5/1/2012","Toby Flenderson"," $ 4,292 "," $ 6,453 ","150.35%","Y","Y","100-200%","MM ACQ","","","","","",""
"5/1/2012","Creed Bratton"," $ 1,597 "," $ 5,134 ","321.48%","Y","Y","+300%","MM ACQ","","","","","",""
"5/1/2012","Darryl Philbin"," $ 7,229 "," $ 7,461 ","103.21%","Y","Y","100-200%","MM ACQ","","","","","",""
"5/1/2012","Kelly Erin Hannon"," $ 7,341 "," $ 8,110 ","110.48%","Y","Y","100-200%","MM ACQ","","","","","",""
"5/1/2012","Gabe Lewis"," $ 2,990 "," $ 5,600 ","187.29%","Y","Y","100-200%","MM ACQ","","","","","",""
"5/1/2012","Holly Flax"," $ 4,171 "," $ 6,600 ","158.24%","Y","Y","100-200%","SB IB","","","","","",""
"5/1/2012","Nellie Bertram"," $ 8,647 "," $ 7,199 ","83.25%","","Y","70-89%","SB IB","","","","","",""
"5/1/2012","Clark Green"," $ 9,072 "," $ 6,700 ","73.85%","","Y","70-89%","SB IB","","","","","",""
"5/1/2012","Pete Miller"," $ 1,362 "," $ 7,321 ","537.52%","Y","Y","+300%","SB IB","","","","","",""
"5/1/2012","Todd Packer"," $ 6,716 "," $ 8,499 ","126.55%","Y","Y","100-200%","SB IB","","","","","",""
"5/1/2012","David Wallace"," $ 1,771 "," $ 8,937 ","504.63%","Y","Y","+300%","SB ACQ","","","","","",""
"5/1/2012","Karen Filippelli"," $ 2,706 "," $ 9,465 ","349.78%","Y","Y","+300%","SB ACQ","","","","","",""
"5/1/2012","Charles Miner"," $ 2,202 "," $ 9,967 ","452.63%","Y","Y","+300%","SB ACQ","","","","","",""
"5/1/2012","Jo Bennett"," $ 1,782 "," $ 7,930 ","445.01%","Y","Y","+300%","SB ACQ","","","","","",""
"5/1/2012","Robert Lipton"," $ 9,219 "," $ 9,241 ","100.24%","Y","Y","100-200%","SB ACQ","","","","","",""
"5/1/2012","Nate Nickerson"," $ 2,565 "," $ 9,682 ","377.47%","Y","Y","+300%","MM ACQ","","","","","",""
"5/1/2012","Deangelo Vickers"," $ 3,903 "," $ 5,957 ","152.63%","Y","Y","100-200%","SB IB","","","","","",""
"5/1/2012","Val Johnson"," $ 2,153 "," $ 8,815 ","409.43%","Y","Y","+300%","MM IB","","","","","",""
"5/1/2012","Cathy Simms"," $ 2,719 "," $ 8,568 ","315.12%","Y","Y","+300%","SB ACQ","","","","","",""
"6/1/2012","Michael Scott"," $ 2,516 "," $ 9,850 ","391.49%","Y","Y","+300%","ENT IB","","","","","",""
"6/1/2012","Dwight Schrute"," $ 1,697 "," $ 8,343 ","491.63%","Y","Y","+300%","ENT IB","","","","","",""
"6/1/2012","Jim Halpert"," $ 2,972 "," $ 7,210 ","242.60%","Y","Y","200-300%","ENT IB","","","","","",""
"6/1/2012","Pam Beesly"," $ 5,187 "," $ 6,548 ","126.24%","Y","Y","100-200%","ENT IB","","","","","",""
"6/1/2012","Ryan Howard"," $ 2,631 "," $ 6,649 ","252.72%","Y","Y","200-300%","ENT IB","","","","","",""
"6/1/2012","Andy Bernard"," $ 3,420 "," $ 9,117 ","266.58%","Y","Y","200-300%","ENT ACQ","","","","","",""
"6/1/2012","Robert California"," $ 8,154 "," $ 9,245 ","113.38%","Y","Y","100-200%","ENT ACQ","","","","","",""
"6/1/2012","Jan Levinson"," $ 3,517 "," $ 9,041 ","257.07%","Y","Y","200-300%","ENT ACQ","","","","","",""
"6/1/2012","Roy Anderson"," $ 5,659 "," $ 6,821 ","120.53%","Y","Y","100-200%","ENT ACQ","","","","","",""
"6/1/2012","Stanley Hudson"," $ 5,812 "," $ 8,973 ","154.39%","Y","Y","100-200%","ENT ACQ","","","","","",""
"6/1/2012","Kevin Malone"," $ 8,499 "," $ 6,456 ","75.96%","","Y","70-89%","MM IB","","","","","",""
"6/1/2012","Meredith Palmer"," $ 1,450 "," $ 5,320 ","366.90%","Y","Y","+300%","MM IB","","","","","",""
"6/1/2012","Angela Martin"," $ 7,422 "," $ 6,576 ","88.60%","","Y","70-89%","MM IB","","","","","",""
"6/1/2012","Oscar Martinez"," $ 4,622 "," $ 6,547 ","141.65%","Y","Y","100-200%","MM IB","","","","","",""
"6/1/2012","Phyllis Lapin"," $ 8,239 "," $ 5,836 ","70.83%","","Y","70-89%","MM IB","","","","","",""
"6/1/2012","Kelly Kapoor"," $ 3,898 "," $ 6,314 ","161.98%","Y","Y","100-200%","MM IB","","","","","",""
"6/1/2012","Toby Flenderson"," $ 1,175 "," $ 8,613 ","733.02%","Y","Y","+300%","MM ACQ","","","","","",""
"6/1/2012","Creed Bratton"," $ 1,258 "," $ 7,875 ","625.99%","Y","Y","+300%","MM ACQ","","","","","",""
"6/1/2012","Darryl Philbin"," $ 6,459 "," $ 9,916 ","153.52%","Y","Y","100-200%","MM ACQ","","","","","",""
"6/1/2012","Kelly Erin Hannon"," $ 4,544 "," $ 7,619 ","167.67%","Y","Y","100-200%","MM ACQ","","","","","",""
"6/1/2012","Gabe Lewis"," $ 6,054 "," $ 6,187 ","102.20%","Y","Y","100-200%","MM ACQ","","","","","",""
"6/1/2012","Holly Flax"," $ 2,634 "," $ 8,627 ","327.52%","Y","Y","+300%","SB IB","","","","","",""
"6/1/2012","Nellie Bertram"," $ 2,628 "," $ 7,537 ","286.80%","Y","Y","200-300%","SB IB","","","","","",""
"6/1/2012","Clark Green"," $ 3,342 "," $ 7,482 ","223.88%","Y","Y","200-300%","SB IB","","","","","",""
"6/1/2012","Pete Miller"," $ 6,861 "," $ 6,902 ","100.60%","Y","Y","100-200%","SB IB","","","","","",""
"6/1/2012","Todd Packer"," $ 5,865 "," $ 6,820 ","116.28%","Y","Y","100-200%","SB IB","","","","","",""
"6/1/2012","David Wallace"," $ 6,344 "," $ 8,730 ","137.61%","Y","Y","100-200%","SB ACQ","","","","","",""
"6/1/2012","Karen Filippelli"," $ 7,436 "," $ 5,490 ","73.83%","","Y","70-89%","SB ACQ","","","","","",""
"6/1/2012","Charles Miner"," $ 9,155 "," $ 5,059 ","55.26%","","Y","30-69%","SB ACQ","","","","","",""
"6/1/2012","Jo Bennett"," $ 7,574 "," $ 8,475 ","111.90%","Y","Y","100-200%","SB ACQ","","","","","",""
"6/1/2012","Robert Lipton"," $ 6,640 "," $ 5,311 ","79.98%","","Y","70-89%","SB ACQ","","","","","",""
"6/1/2012","Nate Nickerson"," $ 7,641 "," $ 7,738 ","101.27%","Y","Y","100-200%","MM ACQ","","","","","",""
"6/1/2012","Deangelo Vickers"," $ 8,923 "," $ 8,005 ","89.71%","","Y","+300%","SB IB","","","","","",""
"6/1/2012","Val Johnson"," $ 9,077 "," $ 9,267 ","102.09%","Y","Y","100-200%","MM IB","","","","","",""
"6/1/2012","Cathy Simms"," $ 2,517 "," $ 5,157 ","204.89%","Y","Y","200-300%","SB ACQ","","","","","",""
"7/1/2012","Michael Scott"," $ 6,273 "," $ 8,545 ","136.22%","Y","Y","100-200%","ENT IB","","","","","",""
"7/1/2012","Dwight Schrute"," $ 3,264 "," $ 7,720 ","236.52%","Y","Y","200-300%","ENT IB","","","","","",""
"7/1/2012","Jim Halpert"," $ 7,934 "," $ 8,045 ","101.40%","Y","Y","100-200%","ENT IB","","","","","",""
"7/1/2012","Pam Beesly"," $ 4,305 "," $ 7,444 ","172.92%","Y","Y","100-200%","ENT IB","","","","","",""
"7/1/2012","Ryan Howard"," $ 2,021 "," $ 5,763 ","285.16%","Y","Y","200-300%","ENT IB","","","","","",""
"7/1/2012","Andy Bernard"," $ 6,532 "," $ 5,280 ","80.83%","","Y","70-89%","ENT ACQ","","","","","",""
"7/1/2012","Robert California"," $ 3,192 "," $ 6,567 ","205.73%","Y","Y","200-300%","ENT ACQ","","","","","",""
"7/1/2012","Jan Levinson"," $ 6,547 "," $ 9,992 ","152.62%","Y","Y","100-200%","ENT ACQ","","","","","",""
"7/1/2012","Roy Anderson"," $ 1,501 "," $ 9,098 ","606.13%","Y","Y","+300%","ENT ACQ","","","","","",""
"7/1/2012","Stanley Hudson"," $ 9,044 "," $ 7,979 ","88.22%","","Y","70-89%","ENT ACQ","","","","","",""
"7/1/2012","Kevin Malone"," $ 4,418 "," $ 9,535 ","215.82%","Y","Y","200-300%","MM IB","","","","","",""
"7/1/2012","Meredith Palmer"," $ 1,588 "," $ 5,856 ","368.77%","Y","Y","+300%","MM IB","","","","","",""
"7/1/2012","Angela Martin"," $ 5,705 "," $ 6,244 ","109.45%","Y","Y","100-200%","MM IB","","","","","",""
"7/1/2012","Oscar Martinez"," $ 9,348 "," $ 5,593 ","59.83%","","Y","30-69%","MM IB","","","","","",""
"7/1/2012","Phyllis Lapin"," $ 6,745 "," $ 9,832 ","145.77%","Y","Y","100-200%","MM IB","","","","","",""
"7/1/2012","Kelly Kapoor"," $ 8,168 "," $ 7,048 ","86.29%","","Y","70-89%","MM IB","","","","","",""
"7/1/2012","Toby Flenderson"," $ 5,091 "," $ 6,564 ","128.93%","Y","Y","100-200%","MM ACQ","","","","","",""
"7/1/2012","Creed Bratton"," $ 2,536 "," $ 9,581 ","377.80%","Y","Y","+300%","MM ACQ","","","","","",""
"7/1/2012","Darryl Philbin"," $ 9,274 "," $ 9,472 ","102.14%","Y","Y","100-200%","MM ACQ","","","","","",""
"7/1/2012","Kelly Erin Hannon"," $ 9,959 "," $ 9,707 ","97.47%","","Y","90-99%","MM ACQ","","","","","",""
"7/1/2012","Gabe Lewis"," $ 6,428 "," $ 5,559 ","86.48%","","Y","70-89%","MM ACQ","","","","","",""
"7/1/2012","Holly Flax"," $ 8,542 "," $ 6,313 ","73.91%","","Y","70-89%","SB IB","","","","","",""
"7/1/2012","Nellie Bertram"," $ 5,961 "," $ 8,404 ","140.98%","Y","Y","100-200%","SB IB","","","","","",""
"7/1/2012","Clark Green"," $ 4,273 "," $ 5,740 ","134.33%","Y","Y","100-200%","SB IB","","","","","",""
"7/1/2012","Pete Miller"," $ 5,092 "," $ 9,462 ","185.82%","Y","Y","100-200%","SB IB","","","","","",""
"7/1/2012","Todd Packer"," $ 2,048 "," $ 9,435 ","460.69%","Y","Y","+300%","SB IB","","","","","",""
"7/1/2012","David Wallace"," $ 2,763 "," $ 7,269 ","263.08%","Y","Y","200-300%","SB ACQ","","","","","",""
"7/1/2012","Karen Filippelli"," $ 5,713 "," $ 7,752 ","135.69%","Y","Y","100-200%","SB ACQ","","","","","",""
"7/1/2012","Charles Miner"," $ 3,784 "," $ 6,781 ","179.20%","Y","Y","100-200%","SB ACQ","","","","","",""
"7/1/2012","Jo Bennett"," $ 1,067 "," $ 7,827 ","733.55%","Y","Y","+300%","SB ACQ","","","","","",""
